統計年,區域別, 年底人口數 ,土地面積,人口密度
105,臺南市安平區,65813,11.0663,5947
105,臺南市中西區,76967,6.26,12295
105,高雄市鹽埕區,24659,1.4161,17413
105,高雄市鼓山區,138099,14.7523,9361
105,高雄市左營區,196936,19.3823,10161
105,高雄市楠梓區,181845,25.8276,7041
105,高雄市三民區,344888,19.7866,17430
105,高雄市新興區,51431,1.9764,26023
105,高雄市前金區,27151,1.8573,14619
105,高雄市苓雅區,172895,8.1522,21208
105,高雄市前鎮區,191262,19.1207,10003
105,高雄市旗津區,28898,1.4639,19740
105,高雄市小港區,157023,45.4426,3455
105,高雄市鳳山區,357768,26.759,13370
105,高雄市林園區,70201,32.286,2174
105,高雄市大寮區,112258,71.04,1580
105,高雄市大樹區,43067,66.9811,643
105,高雄市大社區,34615,26.5848,1302
105,高雄市仁武區,84122,36.0808,2331
105,高雄市鳥松區,44265,24.5927,1800
105,高雄市岡山區,97643,47.9421,2037
105,高雄市橋頭區,37448,25.9379,1444
105,高雄市燕巢區,29960,65.395,458
105,高雄市田寮區,7340,92.6802,79
105,高雄市阿蓮區,29093,34.6164,840
105,高雄市路竹區,53007,48.4348,1094
105,高雄市湖內區,29876,20.1615,1482
105,高雄市茄萣區,30412,15.7624,1929
105,高雄市永安區,14039,22.6141,621
105,高雄市彌陀區,19555,14.7772,1323
105,高雄市梓官區,36252,11.5967,3126
105,高雄市旗山區,37342,94.6122,395
105,高雄市美濃區,40399,120.0316,337
105,高雄市六龜區,13217,194.1584,68
105,高雄市甲仙區,6214,124.034,50
105,高雄市杉林區,12201,104.0036,117
105,高雄市內門區,14743,95.6224,154
105,高雄市茂林區,1896,194,10
105,高雄市桃源區,4220,928.98,5
105,高雄市那瑪夏區,3131,252.9895,12
105,宜蘭縣宜蘭市,95907,29.408,3261
105,宜蘭縣羅東鎮,72485,11.3448,6389
105,宜蘭縣蘇澳鎮,40493,89.0196,455
105,宜蘭縣頭城鎮,29666,100.893,294
105,宜蘭縣礁溪鄉,35948,101.4278,354
105,宜蘭縣壯圍鄉,24236,38.4769,630
105,宜蘭縣員山鄉,32376,111.9106,289
105,宜蘭縣冬山鄉,53327,79.8573,668
