洲別,國家,105/04,105/03,105/02,105/01,104/12,104/11,104/10,104/09,104/08,104/07,104/06,104/05,104/04,104/03,104/02,104/01,103/12,103/11,103/10,103/09,103/08,103/07,103/06,103/05
歐洲,西班牙,875.0,980.0,726.0,675.0,714.0,948.0,859.0,696.0,909.0,778.0,706.0,614.0,759.0,950.0,551.0,581.0,661.0,825.0,798.0,652.0,755.0,693.0,759.0,594.0
歐洲,英國,5952.0,6200.0,4473.0,4372.0,4720.0,5538.0,5094.0,4118.0,4793.0,4629.0,4108.0,4216.0,7665.0,6117.0,3975.0,3811.0,4084.0,5267.0,6574.0,4572.0,4454.0,4512.0,4208.0,4484.0
歐洲,奧地利,560.0,728.0,564.0,565.0,496.0,662.0,666.0,462.0,575.0,590.0,355.0,459.0,586.0,566.0,398.0,428.0,474.0,664.0,601.0,420.0,423.0,481.0,389.0,528.0
歐洲,希臘,157.0,131.0,118.0,140.0,108.0,122.0,158.0,90.0,124.0,146.0,127.0,94.0,143.0,141.0,87.0,125.0,79.0,131.0,127.0,144.0,106.0,108.0,140.0,112.0
歐洲,瑞典,879.0,857.0,613.0,667.0,715.0,784.0,896.0,627.0,480.0,562.0,726.0,577.0,781.0,805.0,532.0,621.0,698.0,799.0,774.0,647.0,525.0,568.0,739.0,675.0
歐洲,俄羅斯,625.0,534.0,497.0,511.0,517.0,709.0,625.0,627.0,586.0,596.0,850.0,724.0,671.0,909.0,531.0,463.0,554.0,954.0,920.0,683.0,655.0,598.0,875.0,616.0
歐洲,歐洲其他,3709.0,3697.0,3399.0,3269.0,3423.0,3520.0,3944.0,3088.0,3000.0,3034.0,3048.0,2971.0,3670.0,3871.0,2681.0,2560.0,3046.0,3600.0,3865.0,2983.0,3373.0,3128.0,3171.0,2769.0
大洋洲,澳大利亞,7480.0,7752.0,5158.0,8101.0,10459.0,6754.0,6543.0,5594.0,4296.0,4600.0,5051.0,4809.0,9069.0,6941.0,4809.0,7197.0,10260.0,6278.0,7537.0,6432.0,4226.0,4786.0,5241.0,5274.0
大洋洲,紐西蘭,1183.0,1034.0,928.0,1331.0,1805.0,1079.0,1078.0,847.0,856.0,881.0,906.0,887.0,1226.0,1047.0,985.0,1208.0,1697.0,1054.0,1106.0,995.0,755.0,1055.0,853.0,1004.0
大洋洲,大洋洲其他,145.0,179.0,188.0,157.0,162.0,146.0,249.0,212.0,176.0,135.0,154.0,116.0,159.0,184.0,89.0,104.0,134.0,124.0,178.0,122.0,219.0,112.0,90.0,105.0
非洲,南非,409.0,311.0,562.0,405.0,566.0,339.0,358.0,243.0,590.0,395.0,315.0,297.0,465.0,519.0,523.0,283.0,471.0,294.0,346.0,330.0,558.0,355.0,309.0,259.0
非洲,非洲其他,474.0,512.0,390.0,342.0,323.0,446.0,475.0,657.0,434.0,375.0,451.0,492.0,539.0,500.0,327.0,248.0,338.0,394.0,427.0,771.0,537.0,314.0,533.0,405.0
非洲,未列明,1005.0,2315.0,789.0,203.0,810.0,169.0,1337.0,141.0,109.0,179.0,352.0,119.0,192.0,305.0,211.0,3102.0,1395.0,216.0,197.0,113.0,187.0,3077.0,830.0,261.0
